sgLinha;codigoLinha;getOrigemIda;destinoIda;nomeLinha;mapa
502;71;SOCOPO;SOCOPO;SOCOPO-CIDADE JARDIM SAO CRISTOVAO;https://www.google.com/maps/d/u/0/embed?mid=1huZmzA8iUAetx-COMAWLQNA5m0yYSc0H&ehbc=2E312F
501;40;ANITA FERRAZ ;ANITA FERRAZ ;ANITA FERRAZ VIA CONJUNTO;https://www.google.com/maps/d/u/0/embed?mid=1DM5pLo7sqOhqHs4piVAX5aID5czm33_j&ehbc=2E312F
404;6;VILA BANDEIRANTES;VILA BANDEIRANTES;VILA BANDEIRANTE DOM SEVERINO;https://www.google.com/maps/d/u/0/embed?mid=1-ycJzo-u23yBOVSWG_zuTK_-4KTW7WHz&ehbc=2E312F
403;5;VILA BANDEIRANTES;VILA BANDEIRANTES;V BANDEIRANTE-SATELITE VIA SHOPPING;https://www.google.com/maps/d/u/0/embed?mid=1wTktp3Gk_hUPlVUZ5BKLzJDkTd_oD66Y&ehbc=2E312F
402;4;VILA BANDEIRANTES;VILA BANDEIRANTES;VILA BANDEIRANTE-PLANALTO ININGA FREI SERAFIM;https://www.google.com/maps/d/u/0/embed?mid=1PlWzVZuekwpLGy6LuAzP-90xcGqWrNoq&ehbc=2E312F
401;21;COL. AGRICOLA;COL. AGRICOLA;UNIVERSIDADE;https://www.google.com/maps/d/u/0/embed?mid=1AEu2AAqbRCp7n-w0R-mADULM_61-SHpj&ehbc=2E312F
360;10;MOCAMBINHO;MOCAMBINHO;DIAMETRAL MOCAMBINHO-PROMORAR;https://www.google.com/maps/d/u/0/embed?mid=1fPM1zp9vbLPm18-2F6GCuj8-OOEminaJ&ehbc=2E312F
303;48;SANTA SOFIA;SANTA SOFIA;SANTA SOFIA AV. JOSE S. SILVA;https://www.google.com/maps/d/u/0/embed?mid=1FBDrEFqtRoZjduVAneRxQaznDcFTbenu&ehbc=2E312F
302;47;MOCAMBINHO;MOCAMBINHO;MOCAMBINHO ASSEMBLEIA VIA SHOPPING;https://www.google.com/maps/d/u/0/embed?mid=1q4Jc3opmoDEwDIuUiX_ffgyC8LaVhgxp&ehbc=2E312F
301;152;MOCAMBINHO;MOCAMBINHO;MOCAMBINHO DUQUE DE CAXIAS;https://www.google.com/maps/d/u/0/embed?mid=1OVIP-qQeTCMLXnZNqq0cdrCOpva7Y_Kt&ehbc=2E312F
270;70;MOCAMBINHO;MOCAMBINHO;DIAMETRAL MOCAMBINHO-PORTO ALEGRE;https://www.google.com/maps/d/u/0/embed?mid=1HsZXmqm5JRWM64_-0gHzgcdPZDGPZzDZ&ehbc=2E312F
245;241;PLANALTO URUGUAI;PLANALTO URUGUAI;VALE DO GAVIAO / PLANALTO URUGUAI;
206;45;BUENOS AIRES;BUENOS AIRES;BUENOS AIRES AEROPORTO;https://www.google.com/maps/d/u/0/embed?mid=1ovqfULyI4QsaXRx1W0ZEWOWvpKkAhw83&ehbc=2E312F
204;69;SANTA MARIA;SANTA MARIA;HD-SANTA MARIA-VASSOURAS FREI SERAFIM;https://www.google.com/maps/d/u/0/embed?mid=1SJnl4q0EMHyO4hoEr3xXrYkAnb5iUbNf&ehbc=2E312F
203;68;MOCAMBINHO;MOCAMBINHO;MOCAMBINHO-ALTO ALEGRE FREI SERAFIM;https://www.google.com/maps/d/u/0/embed?mid=15JGP6CKT623N_8ONLmGpmHpyW6HPY_dG&ehbc=2E312F
202;67;SANTA MARIA;SANTA MARIA;HD-SANTA MARIA-MONTE VERDE-FREI SERAFIM;https://www.google.com/maps/d/u/0/embed?mid=1aStM5_tr1zZjoEpCCpG59phLH1WxKrt_&ehbc=2E312F
201;66;SANTA MARIA;SANTA MARIA;SANTA MARIA DA CODIPI FREI SERAFIM;https://www.google.com/maps/d/u/0/embed?mid=1hiADgfDQNfTJRTVX9xMeNqR2zS0wBsCg&ehbc=2E312F
170;65;POTY VELHO;POTY VELHO;DIAMETRAL POTY VELHO-PL. BELA VISTA;https://www.google.com/maps/d/u/0/embed?mid=1pJbQAEMKZ5AHRaH2Rnx6Xjevpma8p8Iy&ehbc=2E312F
109;1064;JACINTA ANDRADE;JACINTA ANDRADE;SANTA MARIA MONTE VERDE/SHOPPING VIA PQ. ALVORADA;https://www.google.com/maps/d/u/0/embed?mid=1YERg8I5l73533J7zfk0shl8JUagaX7eF&ehbc=2E312F
108;158;TERMINAL 1;TERMINAL 1;SANTA MARIA VASSOURA SHOPPING VIA MAFRENSE;https://www.google.com/maps/d/u/0/embed?mid=1es8bbwp3TmuN3DBeT-THwb6G9fC78_yV&ehbc=2E312F
106;39;SANTA MARIA;SANTA MARIA;HD-SANTA MARIA-VASSOURAS PQ. ALVORADA;https://www.google.com/maps/d/u/0/embed?mid=1Ege0V93m5qb6gKs36_Oy_46sKuhi-SYv&ehbc=2E312F
105;38;SANTA MARIA;SANTA MARIA;HD-SANTA MARIA-MONTE VERDE PQ ALVORADA;https://www.google.com/maps/d/u/0/embed?mid=1-FkB0isuuefkI_P0kZfX5lBMmuWAXUON&ehbc=2E312F
104;37;SANTA MARIA;SANTA MARIA;SANTA MARIA SHOPPING VIA PQ. ALVORADA;https://www.google.com/maps/d/u/0/embed?mid=1T_hXyCvVp515EflIgaeUvWoBStNP_pdo&ehbc=2E312F
103;43;MOCAMBINHO;MOCAMBINHO;MOCAMBINHO-ALTO ALEGRE MATADOURO;https://www.google.com/maps/d/u/0/embed?mid=1q_2kT4ERma_5jVG9mLCi-2cdDCdA5kNf&ehbc=2E312F
101;36;SANTA MARIA;SANTA MARIA;STA. MARIA DA CODIPI PQ. ALVORADA;https://www.google.com/maps/d/u/0/embed?mid=11_vTdVSV3Lo0YdtdkIyJOPitwHVkyt8E&ehbc=2E312F
